year,master_chronology1,61258
649,1.936838481,NA
650,1.605328427,NA
651,1.079118093,NA
652,0.424857487,NA
653,-0.415379142,NA
654,-0.31108195,NA
655,0.369677032,NA
656,0.48068699,NA
657,0.010854986,NA
658,0.230856345,NA
659,1.772309398,NA
660,1.556165602,NA
661,1.823282499,NA
662,1.0222408,NA
663,1.292814337,NA
664,1.034969212,NA
665,0.901032981,NA
666,1.13027091,NA
667,1.715414673,NA
668,0.993393389,NA
669,1.850822571,NA
670,2.442041392,NA
671,0.857572185,NA
672,0.700019051,NA
673,1.138055918,NA
674,1.250789931,NA
675,-0.097870558,NA
676,0.453070437,NA
677,-0.333305342,NA
678,0.504733741,NA
679,1.899954477,NA
680,0.051051639,NA
681,1.78828375,NA
682,0.86615834,NA
683,0.809999495,NA
684,-0.178119801,NA
685,0.901369303,NA
686,0.716136721,NA
687,1.536897697,NA
688,1.731422168,NA
689,2.000601153,NA
690,2.620271926,NA
691,0.537737633,NA
692,0.400781936,NA
693,2.190152718,NA
694,0.103830399,NA
695,0.355241377,NA
696,0.983944721,NA
697,0.376496977,NA
698,1.662446171,NA
699,0.952252259,NA
700,-0.322735529,NA
701,0.089002856,NA
702,1.467448995,NA
703,2.252157677,NA
704,1.659527541,NA
705,0.490924974,NA
706,0.762300621,NA
707,1.794865524,NA
708,2.537889544,NA
709,0.842956782,NA
710,2.057922679,NA
711,-0.344389753,NA
712,-0.48525862,NA
713,-0.341097262,NA
714,0.274200499,NA
715,0.322065686,NA
716,3.368399598,NA
717,-0.049570852,NA
718,0.373415028,NA
719,3.251336099,NA
720,1.365383313,NA
721,1.829605354,NA
722,2.157757686,NA
723,-0.139121435,NA
724,1.218136579,NA
725,-0.544345511,NA
726,0.064477872,NA
727,0.914596926,NA
728,0.649899011,NA
729,1.036652942,NA
730,1.76007394,NA
731,-0.182434566,NA
732,1.03302386,NA
733,2.130129123,NA
734,0.68717247,NA
735,1.767594226,NA
736,0.995441848,NA
737,1.835161175,NA
738,1.557849091,NA
739,0.905291603,NA
740,0.585177091,NA
741,0.855248064,NA
742,0.818274312,NA
743,0.024618493,NA
744,0.239065662,NA
745,1.89684527,NA
746,1.794487181,NA
747,0.174506424,NA
748,1.331556949,NA
749,0.382927418,NA
750,2.171820892,NA
751,0.560414978,NA
752,1.085538856,NA
753,2.875252279,NA
754,-0.15949213,NA
755,-0.051524125,NA
756,-0.468866232,NA
757,0.367255041,NA
758,2.645366881,NA
759,4.432402994,NA
760,0.447574458,NA
761,-0.09135421,NA
762,-0.37135145,NA
763,0.244054784,NA
764,-0.795945098,NA
765,0.933540304,NA
766,0.945705247,NA
767,0.83824336,NA
768,5.680561887,NA
769,0.209277983,NA
770,0.998694977,NA
771,0.838952668,NA
772,-0.175410703,NA
773,0.731283277,NA
774,3.057350309,NA
775,0.765926287,NA
776,-0.207099363,NA
777,0.07148187,NA
778,2.316870634,NA
779,0.24663387,NA
780,0.969407064,NA
781,3.117575648,NA
782,0.218462642,NA
783,-0.418744138,NA
784,0.906228177,NA
785,0.776436728,NA
786,0.7128125,NA
787,2.191914188,NA
788,1.128279359,NA
789,1.510646506,NA
790,0.061632346,NA
791,1.240434104,NA
792,-0.036048247,NA
793,1.728762978,NA
794,-0.493230684,NA
795,1.607305437,NA
796,0.438031541,NA
797,2.527895514,NA
798,1.770466813,NA
799,-0.452483596,NA
800,3.885439952,NA
801,0.399065598,NA
802,0.180788384,NA
803,1.87341131,NA
804,1.270318124,NA
805,-0.229879568,NA
806,0.067488371,NA
807,0.689325572,NA
808,1.026996722,NA
809,1.260174917,NA
810,0.169073135,NA
811,0.567125637,NA
812,2.182080758,NA
813,1.875140402,NA
814,1.520219623,NA
815,0.650656554,NA
816,0.909239743,NA
817,0.750250714,NA
818,0.622680421,NA
819,-0.004971684,NA
820,2.474370724,NA
821,1.057262941,NA
822,0.729359084,NA
823,1.330433356,NA
824,1.69506719,NA
825,1.006618996,NA
826,1.625516248,NA
827,1.508348743,NA
828,-0.046644417,NA
829,0.257004141,NA
830,-0.092835819,NA
831,1.062002993,NA
832,-0.144830558,NA
833,1.053064601,NA
834,1.501883306,NA
835,2.488369496,NA
836,1.094045677,NA
837,1.350434999,NA
838,1.161152707,NA
839,1.155748943,NA
840,2.113582534,NA
841,0.099174938,NA
842,0.723724743,NA
843,0.815686897,NA
844,-0.435966609,NA
845,1.087035753,NA
846,0.740320449,NA
847,2.737718243,NA
848,0.805524619,NA
849,0.011177175,NA
850,0.625593476,NA
851,4.076412508,NA
852,0.381066157,NA
853,-0.208718668,NA
854,0.431851073,NA
855,2.171620553,NA
856,-0.002368506,NA
857,-0.186138288,NA
858,2.280522748,NA
859,0.763749939,NA
860,-0.098110016,NA
861,2.031706908,NA
862,1.514701929,NA
863,0.086750584,NA
864,3.221671727,NA
865,2.928132091,NA
866,-0.022471194,NA
867,-0.359348951,NA
868,-0.068480752,NA
869,0.201170319,NA
870,2.079795077,NA
871,0.623424874,NA
872,0.867600812,NA
873,-0.038032036,NA
874,1.206330206,NA
875,1.1594402,NA
876,2.212478771,NA
877,3.46667494,NA
878,1.733893917,NA
879,-0.518654222,NA
880,0.569626842,NA
881,-0.172603317,NA
882,-0.016173887,NA
883,0.190182534,NA
884,0.463735372,NA
885,1.199699645,NA
886,2.048918409,NA
887,1.704018375,NA
888,2.934641141,NA
889,2.109480744,NA
890,-0.222904197,NA
891,0.117237456,NA
892,0.131757923,NA
893,1.046026682,NA
894,-0.136440838,NA
895,1.533823395,NA
896,3.022356654,NA
897,-0.482472345,NA
898,1.473587835,NA
899,0.930900256,NA
900,2.244371696,NA
901,1.358029693,NA
902,0.981736807,NA
903,0.202965187,NA
904,-0.358893215,NA
905,0.914592554,NA
906,0.179685454,NA
907,-0.356675615,NA
908,2.036762239,NA
909,1.381733837,NA
910,4.240943971,NA
911,0.056482366,NA
912,0.489278302,NA
913,0.886600203,NA
914,2.109956577,NA
915,0.037001995,NA
916,-0.557160957,NA
917,1.661336747,NA
918,1.935227029,NA
919,0.289509875,NA
920,2.889483969,NA
921,0.797647618,NA
922,0.95711428,NA
923,0.209546786,NA
924,0.048353679,NA
925,0.451903938,NA
926,0.62589459,NA
927,2.821951086,NA
928,1.267306696,NA
929,-0.359532438,NA
930,1.513919052,NA
931,2.021134591,NA
932,0.847745352,NA
933,1.332414338,NA
934,0.772330765,NA
935,2.44472679,NA
936,-0.43405128,NA
937,1.108214102,NA
938,-0.401141975,NA
939,1.485201622,NA
940,-0.406660963,NA
941,0.598032516,NA
942,1.563333727,NA
943,1.747626913,NA
944,1.524841311,NA
945,1.962600381,NA
946,0.863394351,NA
947,0.982720542,NA
948,0.205802066,NA
949,0.807430331,NA
950,1.418027136,NA
951,1.465468257,NA
952,1.202063091,NA
953,1.134644255,NA
954,1.265035058,NA
955,1.09225173,NA
956,0.172816005,NA
957,1.324913053,NA
958,1.653092879,NA
959,0.751975428,NA
960,-0.047755606,NA
961,0.142415013,NA
962,1.496010878,NA
963,0.277550822,NA
964,0.530278209,NA
965,2.216630969,NA
966,2.267233959,NA
967,1.746922724,NA
968,0.725591359,NA
969,2.146506682,NA
970,0.784365309,NA
971,0.077915405,NA
972,-0.211449561,NA
